age,citi,day1,day10,day11,day12,day13,day14,day2,day3,day4,day5,day6,day7,day8,day9,duration,maxgroupsize,name,operatedin,physicalrating,price,rating,tourid,touroperator,url
,"Kathmandu,Pokhara,,,,,,,"," Day 1:  Arrival In Kathmandu( TIA) International Airport(1,365m) Transfer To Hotel Evening Welcome Dinner With Culture Dance. O At Hotel",,,,,,Day 2: Fly Kathmandu To Pokhara - Drive To Kande Drive (30 Min) - Trek To Pitam-Deurali (2100 M) Walking 3-4 Hrs. O At Tea House,Day 3: Pitam Deurali (2100 M) - Low Camp (2990 M) Walking 3 Hrs. O At Tea House,Day 4:  Low Camp (2990 M) - High Camp (3540 M) Walking 3 Hrs. O At Tea House,Day 5: Day Hike To Mardi Himal Base Camp (4500 M) And Return To High Camp (3580 M) Walking 6-7 Hrs. O At Tea House,Day 6: High Camp (3580 M) - Sidhing (1700 M) Walking 6 Hrs. O At Tea House,Day 7: Sidhing (1850 M) - Lumre 3 Hrs - Drive To Pokhara Walking 3 Hrs. O At Tea House,,,,,"
            Mardi Himal Trek        ",,,"US
                        $533","
      4.0
    (
      (1)
    ",,,https://www.tourradar.com/119367
,",,,,,,,,","Day 01: Arrival in Kathmandu (1,300m/4,428ft) ",,,,,,"Day 02: Kathmandu to Dhunche (1,960m) – 7 hrs ","Day 3: Dhunche to Sing Gompa (3,3335m) – 4 to 5 hours trek",Day 04: Sing Gompa to Gosaikunda (4380m) – 5/6 hrs trek,"Day 05: Gosaikunda to Ghopte (3,530m) – 7/8 hours ","Day 06: Ghopte to Kutumsang (2,470m) – 5/6 hours ","Day 07: Kutumsang to Chisapani (2,215m) – 4/5 hours walk ",Day 08: Chisapani to Kathmandu – 4 hours trek and 40 minute drive,Day 09 : Departure to your next destination,,,"
            Holy Lake Gosaikunda-Lauribina Pass 8 Nights / 9 Days Trek        ",,,"US
                        $850","
      5.0
    (
      (2)
    ",,,https://www.tourradar.com/119367
"
                    English
                ","Kathmandu,Pokhara,,,,,,,","Day 01 : Arrive at Tribhuwan International Airport, Kathmandu",Day 10 : Pokhara to Kathmandu,Day 11 : Farewell,,,,Day 02 : Drive to Pokhara (910m) Duration: 6 hrs,"Day 03 : Drive to Phedi and trek to Pothana (1,925m) Duration: 4 hrs","Day 04 : Trek to Forest Camp at Kokar (2,600m) Duration: 4 hrs","Day 05 : Trek to Low Camp (3,150m) Duration: 5 hrs","Day 06 : Trek to High Camp (3,600m) Duration: 4 hrs","Day 07 : Day walk to Upper view point (4,200m) Duration: 4 hrs","Day 08 : Trek to Siding village (1,750m) Duration: 6 hrs",Day 09 : Trek to Lumre and drive to Pokhara (910m) Duration - 3 hours walking and 2 hours driving,,"
                        12                    ","
            Mardi Himal Trek        ","
                    75651
                ","
                        15 to 60
                    ","US
                        $850","
      4.8
    (
      (2)
    ",,"
                    Nepal Hiking Team
                ",https://www.tourradar.com/119367
"
                    English
                ",",,,,,,,,","Day 01: Drive from Pokhara to Nayapul and trek to Chomrong (1,951m / 6,400ft) - 06 hrs",,,,,," Day 02: Trek to Dovan 2,130m via Bamboo(2,050 m / 6,725ft)-06 hrs. ","Day 03: Trek to Machhapuchare Base Camp (3,720 m / 12,204ft)-06 hrs.","Day 04: Trek to Annapurna Base Camp 4,095 m /13,435 ft - 04 hrs. ","Day 05: Trek to Bamboo 2,050m / 6,725 ft - 06 hrs. ","Day 06: Trek to Jhinu-Danda with hot spring 1,700m / 5,577ft - 06 hrs. ","Day 07: Trek to Kyumi drive to Pokhara 860m / 2,821ft -05 hrs. ",,,"
            7 days                        
  ","
                        6                    ","
            Annapurna Base Camp Trekking        ","
                    142873
                ","
                        10 to 75
                    ","US
                        $625",(,,"
                    White Hill Adventure Treks and Expedition Pvt Ltd
                ",https://www.tourradar.com/119367
"
                    English, German, French, Chinese, Russian
                ","Kathmandu,Pokhara,Annapurna,,,,,,","DAY 01: Arrival in Kathmandu (1,300m/4,264ft)",DAY 10: Fly to Kathmandu,DAY 11: Final Departure,,,,"DAY 02 : Fly to Pokhara (827m/2,700ft), trek to Ghandruk (1940m/6360 ft): 30 minutes flight, 5 - 6 hours trek",DAY 03: Ghandruk to Chhomrong (2170m/7120ft): 5 - 6 hours,DAY 04: Chhomrong to Bamboo (2310m/7578ft): 4 - 5 hours,"DAY 05 : Bamboo to Deurali (3230m/10,595ft): 3 - 4 hours","DAY 06 : Deurali to Annapurna Base Camp (4,130m/13,545ft) via Machhapuchhre Base Camp (3700m/12135ft): 5- 6 hours",DAY 07: Annapurna Base Camp to Bamboo: 7 – 8 hours,DAY 08: Bamboo to Jhinu Danda (1760m/5770 ft): 5 - 6 hours,"DAY 09 : Trek to Naya Pul then drive to Pokhara: 6 hours trek, 1 hour drive",,"
                        12                    ","
            Annapurna Base Camp Trek        ","
                    68672
                ","
                        5 to 79
                    ","US
                        $1,499","
      4.0
    (
      (1)
    ",,"
                    Himalayan Glacier Trekking Pvt. Ltd.
                ",https://www.tourradar.com/119367
,",,,,,,,,",Day 1: Arrival at  Kathmandu and transfer to Hotel,"Day 10: Final departure, you will be transferred to the Kathmandu airport by our driver",,,,,Day 2: Kathmandu - Syaprubesi by local bus/jeep - 6 hrs drive approx,Day 3: Trek from Syaprubesi to Lama Hotel 2400m/7870ft- 6 hrs walk approx,Day 4: Trek from Lama Hotel to Langatang village 3450m/11315ft- 5 hrs walk approx,Day 5: Trek from Langatng to Kyangjin Gompa 3870m/12697ft- 4 hrs walk approx,Day 6: Rest or Side Trip to Kyanjing Ri 4950m/16236ft- 5 hrs round trip,Day 7: Trek back from Kyanjing Gompa to Lama Hotel- 6 hrs walk approx,Day 8: Trek from Lama Hotel to Syabrubeshi 1520m/4985ft- 6 hrs walk approx,Day 9: Drive back to Kathmandu 6 hrs by local bus,,,"
            Langtang Valley Trek        ",,,"US
                        $629","
      5.0
    (
      (1)
    ",,,https://www.tourradar.com/119367
,"Kathmandu,Pokhara,Ghorepani,Annapurna,,,,,",Day 1: Arrival in Kathmandu (1400m),,,,,,Day 2: Drive to Pokhara (910m) Duration: 6 hours’ drive,"Day 3: Drive to Nayapul and trek to Tikhedunga (1,480m) Duration: Drive 1.5hours and 4 hours Trek","Day 4: Trek to Ghorepani (2,860m) Duration: 5 hours","Day 5: Early morning hike to Poon Hill for sunrise (3,210m/10,529ft) then Ghorepani to Tadapani (2,630m) Duration: 6 hours","Day 6: Trek to Ghandruk (1,940m) and drive to Pokhara Duration: 4 hours Trek and 2-hour drive",Day 7: Drive back from Pokhara to Kathmandu Duration: 6 hours,Day 8: Trip Concludes,,,,"
            Ghorepani Poon Hill Trek        ",,,"US
                        $1,162","
      5.0
    (
      (1)
    ",,,https://www.tourradar.com/119367
"
                    English
                ",",,,,,,,,",Arrived in Kathmandu,"Drive back Syabrubesi to Kathmandu, 1 hour morning & evening yoga.",,,,,Explore Kathmandu city & Evening yoga,"Drive from Kathmandu to Syabrubesi (1,550m/5,100ft): 7-8 hours, 1 hour morning & evening yoga","Trek from Syabrubesi to Lama Hotel (2,380m/7,830ft): 6 hours walk, 1 hour morning & evening yoga","Trek from Lama Hotel to Langtang Valley (3,420m/11,220ft): 6 hours walk, 1 hour morning & evening yoga","Trek from Langtang valley to Kyanjin Gompa (3880m/12729ft): 6 hours walk, 1 hour morning & evening yoga","Explore Kyanjin Gompa/ Kyanjin Ri Hiking around, 1 hour morning & evening yoga","Trek from Kyanjin Gompa to Lama hotel: 6 hours walk, 1 hour morning & evening yoga","Trek from Lama Hotel to Syabrubesi: 5 hours walk, 1 hour morning & evening yoga",,"
                        10                    ","
            Langtang valley Yoga & meditation Trek        ","
                    119367
                ","
                        10 to 70
                    ","US
                        $999","
      5.0
    (
      (1)
    ",,"
                    Himalayan Recreation Treks & Expedition Pvt.ltd
                ",https://www.tourradar.com/119367
,",,,,,,,,",Day 01: Arrival in Kathmandu,,,,,,Day 02: Sightseeing around Kathmandu Valley,Day 03: Drive from Kathmandu to Pokhara,Day 04: Drive to Phedi and trek to Australian Camp,Day 05: Australian Camp to Sarankot trek,Day 06: Observe sunrise view and trek from Sarangko to Pokhara Valley,Day 07: Drive from Pokhara to Kathmandu,Day 08: Departure to your own destination from TIA,,,,"
            Annapurna Mini Trek - 8 Days        ",,,"US
                        $999","
      5.0
    (
      (2)
    ",,,https://www.tourradar.com/119367
"
                    English
                ",",,,,,,,,",Day 1: Arrival In kathmandu,,,,,,"Day 2: Fly to Pokhara, drive to Kande, Trek to Australian Camp ",Day 3: Trek to Forest Camp ,Day 4: Trek to High Camp ,Day 5: Trek to Mardi Himal Base Camp ,"Day 6: Trek to Sidhing, Drive to Pokhara ",Day 7: Drive to Kathmandu,,,,"
                        15                    ","
            Mardi Himal Trek in Annapurna Region - 7 Days        ","
                    142437
                ","
                        10 to 75
                    ","US
                        $1,350","
      4.7
    (
      (3)
    ",,"
                    Oriental Journeys Pvt. Ltd.
                ",https://www.tourradar.com/119367
"
                    English
                ","Kathmandu,Pokhara,Ghorepani,Annapurna,,,,,",Day 1: Arrival in Kathmandu,,,,,,Day 2: Kathmandu to Pokhara flight then drive Nayapul and trek up to Tikedhunga ,Day 3:  Trek from Tikedhunga to Ghorepani 6-7 hrs ,Day 4:  Trek from Ghorepani to Poon hill (3210m) and poonhill to Tandapani (2700m) ,Day 5:  Trek from Tadapani to Ghandruk (1940m) ,Day 6:  Trek from Ghandruk to Nayapul and Nayapul to Pokhara ,Day 7:  Drive back to Kathmandu (tourist bus) ,Day 8:  Kathmandu valley sightseeing and market visit ,Day 9:  Final departure to the destination ,,"
                        20                    ","
            Ghorepani Poon Hill Sunrise View Trek - 9 Days        ","
                    140579
                ","
                        5 to 99
                    ","US
                        $899","
      4.8
    (
      (2)
    ",,"
                    Oriental Journeys Pvt. Ltd.
                ",https://www.tourradar.com/119367
,",,,,,,,,",Day 1: Arrival In Kathmandu and transfer to hotel ,Day 10: Departure and return back to your sweet country ,,,,,Day 2: Kathmandu Valley Full Day Sightseeing ,Day 3: Drive From Kathmandu To Syabrubesi | Drive On 4WD 6-7 Hrs ,Day 4: Trek From Sybrubensi To Gatlang | Trekking 4-5 Hrs ,Day 5: Trek From Gatlang To Tatopani | Trekking 5-6 Hrs ,Day 7: Trek From Nagthali To Briddhim | Trekking 5-6 Hrs ,Day 7: Trek From Nagthali To Briddhim | Trekking 5-6 Hrs ,Day 8: Trek From Briddhim To Syabrubesi |Trekking 4 Hrs ,Day 9: Drive Back To Kathmandu | Drive 6-7 Hours ,,,"
            Tamang Heritage Trail Trek 10 Days        ",,,"US
                        $1,200","
      5.0
    (
      (1)
    ",,,https://www.tourradar.com/119367
,"Kathmandu,Pokhara,Annapurna,Ghorepani,,,,,",Day 1: Arrival in Kathmandu,Day 10: Departure to your destination,,,,,Day 2: Drive Kathmandu to Pokhara,Day 3: Drive to Nayapul and trek up to Tikedhunga ,Day 4: Trek Tikedhunga to Ghorepani 6-7 hrs ,Day 5: Trek from Ghorepani to Poon hill (3210m) and poonhill to Tandapani (2700m) ,Day 6: Trek from Tadapani to Ghandruk (1940m) ,Day 7: Trek from Ghandruk to Nayapul and drive from Nayapul to Pokhara ,Day 8: Drive back to Kathmandu (tourist bus) ,Day 9: Sightseeing and Free Day in Kathmandu,,,"
            Annapurna Sunrise Trek 10 Days        ",,,"US
                        $1,145","
      5.0
    (
      (1)
    ",,,https://www.tourradar.com/130320
"
                    English
                ","Kathmandu,Lukla,Phakding,Namche Bazar,Dingboche,Lobuche,Gorak Shep,,",Day 1:  Arrival Pick Up Transfer To Hotel And Orientation.,Day 10: Gorakshep Ride On Helicopter To Kathmandu (1338m),Day 11: Departure To Onward Journey,,,,"Day 2: Flight To Lukla (2840m) – Trek To Phakding (2,610m)","Day 3: Trek Namche Bazaar (3,440m","Day 4 : Acclimatizing Day At Namche Bazaar (3,440m)","Day 5 : Trek To Tengboche (3,860m)","Day 6: Trek To Dingboche (4,410m)","Day 7: Rest/Acclimatization Day In Dingboche (4,410m)","Day 8: Trek To Lobuche (4,910m)","Day 9: Trek To Gorak Shep (5,140m) – Afternoon Everest Base Camp Visit (5,364m)",,"
                        10                    ","
            Everest Base Camp Luxury Heli Trek        ","
                    141278
                ","
                        5 to 65
                    ","US
                        $2,470","
      5.0
    (
      (1)
    ",,"
                    Nepal Social Treks
                ",https://www.tourradar.com/130320
,"Kathmandu,Lukla,Everest Base Camp,,,,,,",Day 1: Kathmandu,Day 10: Kala Pattar - Pheriche or Orsho,Day 11: Tengboche (3840 m),Day 12: Monjo (2860 m),Day 13: Lukla,Day 14: Kathmandu,Day 2: Phakding (2610 m),Day 3: Namche Bazaar (3440 m),Day 4: Namche Bazaar (3440 m),Day 5: Phortse Gaon (3810 m),Day 6: Dingboche (4360m),Day 7: Dingboche (4410 m),Day 8: Lobuche (4900 m),Day 9: Gorak Shep - Everest Base Camp (5364 m),,,"
            Everest Base Camp Trek        ",,,"US
                        $1,665","
      4.7
    (
      (143)
    ",,,https://www.tourradar.com/130320
"
                    English
                ","Kathmandu,Lukla,Phakding,Namche Bazar,Dingboche,Lobuche,Everest Base Camp,Gorak Shep,Pheriche",Day 01 : Arrive at Tribhuwan International Airport Kathmandu,Day 10 : Lobuche - Everest Base Camp (5364m/17594ft) - Gorekshep (Distance: 14-15 KM) Duration: 8 Hours,Day 11 : Gorakshep - Kala Pathar (5545m/18188ft) - Pheriche (4210m/13809ft) (Distance: 13-14 KM) 7 Hours,Day 12 : Pheriche to Namche (3440m/11283ft) (Walking Distance: 14-15 KM)Duration: 7 Hours,Day 13 : Namche to Lukla (2800m/9184ft) (Walking Distance: 18-19 KM) Duration: 7 Hours,Day 14 : Lukla to Kathmandu,Day 02 : Kathmandu Valley Sightseeing Tour and Preparation for the Trek,Day 03 : Fly to Lukla and Trek to Phakding (2652m/8699ft (Walking Distance: 8 KM) Duration: 3 hours,Day 04 : Phakding to Namche Bazaar (3440m/11283ft) (Walking Distance: 10-12 KM) Duration: 6 hours,Day 05 : Acclimatization Day - Hike to Everest View Hotel (Walking Distance: 3-4 KM) Duration: 3-4 Hours,Day 06 : Namche to Tengboche (3860m/12660ft) (Walking Distance: 10-11 KM) Duration: 5 Hours,Day 07 : Tengboche to Dingboche (4410m/14464ft) (Walking Distance: 11-12 KM) Duration: 5 Hours,Day 08 : Acclimatization Day - Hike to Nagerjun and return (Walking Distance: 5-6 KM) Duration: 4-5 Hours,Day 09 : Dingboche to Lobuche (4910m/16105ft) (Walking Distance.: 11-12 KM) Duration: 5 Hours,,"
                        12                    ","
            Everest Base Camp Trek        ","
                    75619
                ","
                        15 to 70
                    ","US
                        $1,420","
      4.9
    (
      (30)
    ",,"
                    Nepal Hiking Team
                ",https://www.tourradar.com/130320
"
                    English
                ","Kathmandu,Pokhara,Ghorepani,Annapurna,,,,,","Day 01 : Arrival at Tribhuwan International Airport, Kathmandu",Day 10 : Annapurna Base Camp to Bamboo (2310m/7575ft) Duration: 7 hours,Day 11 : Bamboo to Jhinu Danda hot spring (1780m/5840ft) Duration: 6 hours,Day 12 : Jhinu Danda to Pokhara (910m/2985ft) Duration: 5 hour walk,Day 13 : Pokhara to Kathmandu Duration: 6 hours,Day 14 : Farewell,Day 02 : Kathmandu to Pokhara (910m/2985ft) Duration: 6 hours,Day 03 : Drive to Nayapul and trek to Tikhe Dhunga (1495m/4905ft) Duration: 4 hours,Day 04 : Tikhe Dhunga to Ghorepani (2850m/9348ft) Duration: 7 hours,"Day 05 : Hike to Poonhill (3180m/10430ft), Trek to Tadapani (2500m/8200ft) Duration: 6-7 hours",Day 06 : Tadapani to Chhomrong (2020m/6625ft) Duration: 5 hours,Day 07 : Chhomrong to Dovan (2600m/8528ft) Duration: 5 hours,Day 08 : Dovan to Deurali (3200m/10500ft) Duration: 4 hours,Day 09 : Deurali to Annapurna Base Camp (4210m/13810ft) Duration: 5 hours,,"
                        12                    ","
            Annapurna Base Camp Trek (10 destinations)        ","
                    75646
                ","
                        12 to 65
                    ","US
                        $1,086","
      4.7
    (
      (20)
    ",,"
                    Nepal Hiking Team
                ",https://www.tourradar.com/130320
"
                    English
                ","Kathmandu,Lukla,Phakding,Namche Bazar,,,,,","Day 01 – Arrive in Kathmandu (1,400 m). Overnight at a Hotel.",,,,,,"Day 02– Fly to Lukla (2,804 m) and Trek to Phakding (2,610 m) – 3 hours. Overnight at a Guesthouse.","Day 03 - Trek to Namche Bazaar (3,441 m) – 5.5 hours. Overnight at a Guesthouse.",Day 04 –Namche Bazaar- Day hike (Khunde/Khumjung & everest View Hotel),"Day 05– Trek to Lukla (2,804 m) – 6 hours. Overnight at a Guesthouse.",Day 06 – Morning Flight from Lukla to Kathmandu and Join dinner with cultural show in the evening Overnight at a Hotel.,Day 07– Transfer to the International Airport for your Final Departure. ,,,,"
                        8                    ","
            Everest View Trek         ","
                    140647
                ","
                        10 to 70
                    ","US
                        $999","
      5.0
    (
      (1)
    ",,"
                    Himalayan Recreation Treks & Expedition Pvt.ltd
                ",https://www.tourradar.com/130320
